customer_id,customer_name,city,state,signup_date
1,Ana Sophia Araújo,Farias de Goiás,RJ,2024-07-22
2,Renan Viana,Pereira,SP,2024-05-04
3,Enrico Dias,da Paz,PR,2025-09-16
4,Dra. Kamilly das Neves,Freitas de Almeida,RS,2025-10-17
5,Samuel Pereira,Freitas Grande,RS,2024-09-15
6,Sr. Bryan Nascimento,Moraes,MG,2025-12-21
7,Emanuella Barbosa,Teixeira de Costa,RJ,2026-03-23
8,Ana Júlia Vieira,Moreira Verde,CE,2024-08-29
9,Augusto Dias,Cardoso de Goiás,RJ,2026-01-04
10,Emilly Ramos,da Cruz da Praia,GO,2024-12-26
11,Emanuelly Cardoso,Teixeira,BA,2025-09-25
12,Lucas Gabriel Nascimento,das Neves Alegre,SP,2025-12-18
13,Enzo Azevedo,Nunes Paulista,SP,2024-05-29
14,Raquel Lopes,Sales,RJ,2025-01-25
15,Laís da Conceição,Cunha de Goiás,RS,2025-10-07
16,Emanuella Pereira,Moreira de Goiás,RS,2026-04-10
17,Luiz Gustavo Sales,Barros,CE,2025-12-31
18,Pedro Lucas da Cruz,Campos das Flores,GO,2025-01-14
19,Marcela Fernandes,Correia,SP,2025-08-22
20,Sophia Fogaça,Correia da Mata,CE,2025-02-22
21,Agatha Ferreira,Santos,RS,2026-02-07
22,Fernanda Santos,da Costa,CE,2025-01-09
23,Marcelo Souza,Martins,BA,2025-04-03
24,João Guilherme Lima,Caldeira,RS,2024-10-04
25,Ana Júlia Cardoso,Campos de Teixeira,PE,2025-10-22
26,Rafael Ribeiro,Ferreira,GO,2025-05-01
27,Lara da Rosa,Lima,PR,2025-01-27
28,Milena Moura,Silveira de Porto,SP,2024-07-08
29,Bernardo Mendes,Vieira,MG,2024-09-26
30,Alexandre Cardoso,Dias,BA,2024-05-30
31,Isaac Cardoso,Freitas,SC,2025-08-13
32,Marcelo Costela,Farias de Ribeiro,PR,2025-11-22
33,Caio Castro,Moraes das Pedras,MG,2025-02-05
34,Srta. Nicole Castro,Nunes,RS,2025-09-25
35,Felipe da Mota,Teixeira,SC,2025-03-04
36,Carolina Freitas,Farias de Cardoso,RJ,2025-02-28
37,Ana Luiza Barros,Carvalho,RJ,2026-02-17
38,Davi Luiz Oliveira,Rocha de da Rosa,BA,2026-01-03
39,Davi Luiz Nascimento,Nogueira,RJ,2024-10-21
40,Esther Pereira,da Costa de da Mota,SC,2024-11-13
41,Nathan Viana,Lopes,SC,2024-05-22
42,Luana Santos,Caldeira,GO,2026-03-14
